estado,diario,data_publicacao,caderno,tipo_ato,nome,id_funcional,assinante,cargo_assinante,categoria_assinante,spacy_pessoa,spacy_entidades,nome_parse_confiavel,cargo,orgao,trecho,fonte_url,arquivo_markdown
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),nomeacao,ANTONIO ALEXANDRE DA SILVA FERREIRA,,,,,sim,ANTONIO ALEXANDRE DA SILVA FERREIRA:MISC|Antonio Alexandre Da Silva Ferreira:PER,sim,,,"NOMEAR ANTONIO ALEXANDRE DA SILVA FERREIRA para exercer, com validade a contar de 23 de dezembro de 2020, o cargo em comissão de Assessor, símbolo DAS-8, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),nomeacao,ALEXANDER DE CARVALHO MAIA,4388209-9,,,,sim,MAIA:ORG|Alexander De Carvalho Maia:PER,sim,,do Gabinete do Secretário,"NOMEAR ALEXANDER DE CARVALHO MAIA , ID FUNCIONAL Nº 4388209-9, para exercer, com validade a contar de 23 de dezembro de 2020, o cargo em comissão de Assistente, símbolo DAS-6, do Gabinete do Secretário, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),exoneracao,LINIQUER COSTA DE SANT'ANNA,5105553-8,,,,sim,LINIQUER COSTA:ORG|Liniquer Costa De Sant'Anna:PER,sim,do cargo em comissão de Ajudante I,da Superintendência da Segurança Presente,"EXONERAR LINIQUER COSTA DE SANT'ANNA , ID FUNCIONAL Nº 5105553-8, do cargo em comissão de Ajudante I, símbolo DAI-1, da Superintendência da Segurança Presente, da Subsecretaria de Integração Sociogovernamental e de Projetos Especiais, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),nomeacao,RAPHAEL OLIVEIRA TURCZINECK,5079294-6,,,,sim,RAPHAEL OLIVEIRA:ORG|TURCZINECK:ORG|Raphael Oliveira Turczineck:PER,sim,para exercer o cargo em comissão de Ajudante I,da Superintendência da Segurança Presente,"NOMEAR RAPHAEL OLIVEIRA TURCZINECK , ID FUNCIONAL Nº 5079294-6, para exercer o cargo em comissão de Ajudante I, símbolo DAI-1, da Superintendência da Segurança Presente, da Subsecretaria de Integração Sociogovernamental e de Projetos Especiais, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),exoneracao,JORGE ROBERTO FRUTUOSO GONÇALVES,5106247-0,,,,sim,ROBERTO FRUTUOSO GONÇALVES:MISC|Jorge Roberto Frutuoso Gonçalves:PER,sim,do cargo em comissão de Ajudante I,da Superintendência da Segurança Presente,"EXONERAR JORGE ROBERTO FRUTUOSO GONÇALVES , ID FUNCIONAL N° 5106247-0, do cargo em comissão de Ajudante I, símbolo DAI-1, da Superintendência da Segurança Presente, da Subsecretaria de Integração Sociogovernamental e de Projetos Especiais, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),exoneracao,DAVID ANTONIO DOS SANTOS,4403400-8/3,,,,sim,DAVID ANTONIO DOS SANTOS:MISC|David Antonio Dos Santos:PER,sim,do cargo em comissão de Assessor Chefe,da Subsecretaria Executiva,"EXONERAR com validade a contar de 11 de dezembro de 2020, DAVID ANTONIO DOS SANTOS , ID FUNCIONAL Nº 4403400-8/3, do cargo em comissão de Assessor Chefe, símbolo DAS-8, da Assessoria de Planejamento e Gestão, da Subsecretaria Executiva, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),exoneracao,JOSÉ ELIAS DO NASCIMENTO NETO,4354436-3/4,,,,sim,JOSÉ ELIAS:PER,sim,do cargo em comissão de Assessor,da Subsecretaria Executiva,"EXONERAR com validade a contar de 11 de dezembro de 2020, JOSÉ ELIAS DO NASCIMENTO NETO , ID FUNCIONAL Nº 4354436-3/4, do cargo em comissão de Assessor, símbolo DAS-7, da Assessoria de Planejamento e Gestão, da Subsecretaria Executiva, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),nomeacao,JOSÉ ELIAS DO NASCIMENTO NETO,4354436-3/4,,,,sim,JOSÉ ELIAS:PER,sim,da Assessoria de Planejamento e Gestão,da Subsecretaria Executiva,"NOMEAR JOSÉ ELIAS DO NASCIMENTO NETO , ID FUNCIONAL Nº 4354436-3/4, para exercer, com validade a contar de 11 de dezembro de 2020, o cargo em comissão de Assessor Chefe, símbolo DAS-8, da Assessoria de Planejamento e Gestão, da Subsecretaria Executiva, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),nomeacao,DAVID ANTONIO DOS SANTOS,4403400-8/3,,,,sim,DAVID ANTONIO DOS SANTOS:MISC|David Antonio Dos Santos:PER,sim,da Assessoria Executiva,da Subsecretaria Executiva,"NOMEAR DAVID ANTONIO DOS SANTOS , ID FUNCIONAL Nº 4403400-8/3, para exercer, com validade a contar de 11 de dezembro de 2020, o cargo em comissão de Assessor, símbolo DAS-7, da Assessoria Executiva, da Subsecretaria Executiva, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),nomeacao,TATIANE FARIA BARROS DE OLIVEIRA,4211343-1/3,,,,sim,FARIA BARROS DE OLIVEIRA:PER,sim,,da Superintendência Técnica Administrativa,"NOMEAR TATIANE FARIA BARROS DE OLIVEIRA , ID FUNCIONAL Nº 4211343-1/3, para exercer, com validade a contar de 09 de dezembro de 2020, o cargo em comissão de Assessor, símbolo DAS-7, da Superintendência Técnica Administrativa, da Subsecretaria Executiva, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),exoneracao,FLAVIA GONÇALVES RIBEIRO NETO MACIEL,3745974-0/1,,,,sim,FLAVIA GONÇALVES RIBEIRO NETO:PER,sim,do cargo em comissão de Assessor,da Superintendência Técnica Administrativa,"EXONERAR com validade a contar de 09 de dezembro de 2020, FLAVIA GONÇALVES RIBEIRO NETO MACIEL , ID FUNCIONAL Nº 3745974-0/1, do cargo em comissão de Assessor, símbolo DAS-7, da Superintendência Técnica Administrativa, da Subsecretaria Executiva, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),nomeacao,CLAUDIA FERNANDA VANALLI MARQUES,4381028-4,,,,sim,FERNANDA VANALLI MARQUES:PER,sim,,da Superintendência de Gestão de Pessoas,"NOMEAR CLAUDIA FERNANDA VANALLI MARQUES , ID FUNCIONAL Nº 4381028-4, para exercer, com validade a contar de 04 de dezembro de 2020, o cargo em comissão de Assessor, símbolo DAS-7, da Superintendência de Gestão de Pessoas, da Subsecretaria de Gestão Administrativa, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),nomeacao,FLAVIA GONÇALVES RIBEIRO NETO MACIEL,3745974-0/1,,,,sim,FLAVIA GONÇALVES RIBEIRO NETO:PER,sim,da Assessoria Executiva,da Subsecretaria Executiva,"NOMEAR FLAVIA GONÇALVES RIBEIRO NETO MACIEL , ID FUNCIONAL Nº 3745974-0/1, para exercer, com validade a contar de 09 de dezembro de 2020, o cargo em comissão de Assessor, símbolo DAS-7, da Assessoria Executiva, da Subsecretaria Executiva, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),exoneracao,ROBERTO RICARDO TORQUATO DUARTE,5111795-9,,,,sim,ROBERTO:ORG|Roberto Ricardo Torquato Duarte:PER,sim,do cargo em comissão de Assessor,da Superintendência de Infraestrutura e Logística,"EXONERAR com validade a contar de 30 de novembro de 2020, ROBERTO RICARDO TORQUATO DUARTE , ID FUNCIONAL Nº 5111795-9, do cargo em comissão de Assessor, símbolo DAS-7, da Superintendência de Infraestrutura e Logística, da Subsecretaria de Gestão Administrativa, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),exoneracao,CLAUDIA LOPES DA CUNHA,5007815-1,,,,sim,Claudia Lopes Da Cunha:PER,sim,do cargo em comissão de Coordenador,da Superintendência de Infraestrutura e Logística,"EXONERAR com validade a contar de 23 de novembro de 2020, CLAUDIA LOPES DA CUNHA , ID FUNCIONAL Nº 5007815-1, do cargo em comissão de Coordenador, símbolo DAS-7, da Coordenadoria de Engenharia e Avaliação Imobiliária, da Superintendência de Infraestrutura e Logística, da Subsecretaria de Gestão Administrativa, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),nomeacao,GUSTAVO OLIVEIRA PINTO,,,,,sim,GUSTAVO:MISC|Gustavo Oliveira Pinto:PER,sim,,da Superintendência de Infraestrutura e Logística,"NOMEAR GUSTAVO OLIVEIRA PINTO para exercer, com validade a contar de 23 de novembro de 2020, o cargo em comissão de Coordenador, símbolo DAS-7, da Coordenadoria de Engenharia e Avaliação Imobiliária, da Superintendência de Infraestrutura e Logística, da Subsecretaria de Gestão Administrativa, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
RJ,Diario Oficial do Estado do Rio de Janeiro,2020-12-23,Parte I (Poder Executivo),nomeacao,ISABEL CRISTINA MAGATON MELLO,1962619-3/1,,,,sim,CRISTINA MAGATON:LOC|Isabel Cristina Magaton Mello:PER,sim,,do Departamento Geral de Ações Socioeducativas - DEGASE,"NOMEAR ISABEL CRISTINA MAGATON MELLO , ID FUNCIONAL N° 1962619-3/1, matrícula nº 0806673-0, para exercer, com validade a contar de 15 de dezembro de 2020, o cargo em comissão de Diretor, símbolo DAS-7, do Centro de Capacitação Profissional, da Coordenação de Educação, Cultura, Esporte e Lazer, do Departamento Geral de Ações Socioeducativas - DEGASE, da",https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wRmVsRlZUWGRSZWxsMFRWVlZORTVwTURCU2Ftc3lURlZGTWs5VVRYUk9hMUV4VFd0VmVGSkVUVE5TVkVaQ1RWUmpNMDlFUVRGT1ZFVjNUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2020\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2020-12-23.md
