nome_normalizado,ordem_pessoa,estado,diario,data_publicacao,ano,tipo_ato,nome,nome_original_csv,spacy_pessoa,spacy_entidades,cargo,orgao,caderno,fonte_url,arquivo_markdown,arquivo_csv,linha_csv,ato_anterior,data_anterior,cargo_anterior,orgao_anterior,dias_desde_anterior,retorno_apos_exoneracao,data_exoneracao_anterior,cargo_exoneracao_anterior,orgao_exoneracao_anterior,dias_desde_exoneracao,mudou_cargo_desde_exoneracao,mudou_orgao_desde_exoneracao,marco_governo,data_marco_governo,dias_desde_marco_governo
ACAUA DE SOUZA LOPES FAGUNDES,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-02-19,2025,nomeacao,ACAUÃ DE SOUZA LOPES FAGUNDES,ACAUÃ DE SOUZA LOPES FAGUNDES,sim,SOUZA:LOC|FAGUNDES:LOC|Acauã De Souza:PER,,da Autarquia de Proteção e Defesa do Consumidor do Estado do Rio de Janeiro - PROCON-RJ,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFRCRk1VMUVaM2xTUkZWMFVsUktRMUpwTURCT2EwVXhURlJyTVZKcVozUlBSVVY1VFVSQ1JGSkVTVEZQUlUwd1RWUmpNMDU2VlhoT2FtczBUVUU5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-19.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,8090,,,,,,nao,,,,,,,,,
ACA￾GEPAN LUIZ DE AZEVEDO DA SILVA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-10-25,2024,exoneracao,ACA￾GEPAN LUIZ DE AZEVEDO DA SILVA,ACA￾GEPAN LUIZ DE AZEVEDO DA SILVA,sim,LUIZ DE AZEVEDO DA SILVA:PER,do cargo em comissão de Gerente de Área,da Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro - FAETEC,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSUk0xRXdVa1pPZWtWMFVYcEtSMDlUTURCTk1FVTBURlJuTTFKcVkzUk9WVVpDVGpCUmQxRnJUa0pQUkdkNVRWUmpNMDU2VlhoUFJHZDRUWGM5UFE9PQ==,LAKE\RJ\2024\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-10-25.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,1302,,,,,,nao,,,,,,,,,
ACHILLES SOARES MARTINS,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-11-05,2024,nomeacao,ACHILLES SOARES MARTINS,ACHILLES SOARES MARTINS,sim,SOARES MARTINS:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwck1FMUVWWGxOUlVWMFVWUkJOVTFETURCTlJWSkVURlJuZVU1clJYUlBWRVUwVVhwSk0xRnFaRVZOUlUxNFRWUmpNMDU2VlhoUFJHTTBUV2M5UFE9PQ==,LAKE\RJ\2024\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-11-05.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,1006,,,,,,nao,,,,,,,,,
ACHIL￾LES SOARES MARTINS,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-07-01,2024,exoneracao,ACHIL￾LES SOARES MARTINS,ACHIL￾LES SOARES MARTINS,sim,SOARES MARTINS:PER,do cargo em comissão de Assistente II,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG5wTk0xSnFWVFJOZWxsMFRrUlpOVkY1TURCU2EwNUVURlZLUlU5RWEzUlJWRkY0VFVWVk1rNTZZekpOZWtFMVRWUmpNMDU2VlhsTmFsRjVUVUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\07\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-07-01.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,4043,,,,,,nao,,,,,,,,,
ADAH ROSA DA CONCEICAO PEREIRA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-12-23,2024,nomeacao,ADAH ROSA DA CONCEIÇÃO PEREIRA,ADAH ROSA DA CONCEIÇÃO PEREIRA,sim,CONCEIÇÃO PEREIRA:MISC|Adah Rosa Da Conceição Pereira:PER,para exercer o cargo comissionado de Chefe da Seção de Banco de Alimentos da Unidade do Paty do Alferes,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSR1FrMUVhekpSYTFGMFVsVk9SMDVETURCUmEwMHpURlZKZVU5RlZYUk9hbEpHVVZWVk1rNUVSa2RPYTBVd1RWUmpNMDU2VlhoUFJGbDZUMEU5UFE9PQ==,LAKE\RJ\2024\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-12-23.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,39,,,,,,nao,,,,,,,,,
ADALBERTO MELO DA SILVA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-08-25,2025,nomeacao,ADALBERTO MELO DA SILVA,ADALBERTO MELO DA SILVA,sim,ADALBERTO MELO DA SILVA:MISC|Adalberto Melo:PER,,do Instituto Rio Metrópole - IRM,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSU1JWRnFaelZOZWtWMFVXdFNRazFETURCUFZGWkdURlZGTlZGVlZYUk9WRkV3VDFSU1JVOUVWVEpOUkVKSFRWUmpNMDU2VlhoT1JGa3dUV2M5UFE9PQ==,LAKE\RJ\2025\08\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-08-25.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,3629,,,,,,nao,,,,,,,,,
ADAMO FERREIRA REUTHER,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2026-03-23,2026,nomeacao,ADAMO FERREIRA REUTHER,ADAMO FERREIRA REUTHER,sim,ADAMO FERREIRA:MISC|Adamo Ferreira:PER,,da Subsecretaria de Políticas Habitacionais Especializadas,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wQ1IwNTZSVE5SYTFsMFRWUkJNazVwTURCT01Fa3dURlJzUmxKVlVYUlBWR1JEVFdwc1IwNHdXWGROZWtFeFRWUmpNMDU2VlhkUFJHdDZUWGM5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-23.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2026.csv,1579,,,,,,nao,,,,,,,,,
ADAUCTO RODRIGUES MAGALHAES,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-10-13,2025,exoneracao,ADAUCTO RODRIGUES MAGALHÃES,ADAUCTO RODRIGUES MAGALHÃES,sim,RODRIGUES MAGALHÃES:PER,do cargo em comissão de Diretor de Divisão,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFVSc1IxSnFWWGhSVkd0MFVrUkZORkZUTURCTmVsa3lURlZLUlUxRlRYUk9hazB5VFVWU1IxSnFUVEZPYTBWNFRWUmpNMDU2VlhoTmVtY3lUMEU5UFE9PQ==,LAKE\RJ\2025\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-10-13.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,1870,,,,,,nao,,,,,,,,,
ADAUTO DE MIRANDA FAJARDO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-05-23,2024,nomeacao,ADAUTO DE MIRANDA FAJARDO,ADAUTO DE MIRANDA FAJARDO,sim,MIRANDA FAJARDO:MISC|Adauto De Miranda Fajardo:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFZSWmQxRnFaM2xTYWtsMFRXcGtSRkpUTURCU1ZVWkRURlZLUkUxcVZYUlJhazVHVFdwak1WSkZWa0pPZWtrMVRWUmpNMDU2VlhsTmFsVjZUbmM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-05-23.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,4999,,,,,,nao,,,,,,,,,
ADEILDA DE CASTRO BARBOSA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-09-03,2024,exoneracao,ADEILDA DE CASTRO BARBOSA,ADEILDA DE CASTRO BARBOSA,sim,ADEILDA DE CASTRO:MISC|Adeilda De Castro Barbosa:PER,do cargo em comissão de Assessor,da Subsecretaria do Tesouro do Estado do Rio de Janeiro,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtWT1FsRnFRVEpSVlVsMFVsUm5NVTFUTURCT2VrNUdURlZKTUUxVWEzUk9SRWt5VGtSck1VMUZWa05SVkVsM1RWUmpNMDU2VlhsTmFrVTFUbWM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\09\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-09-03.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,2387,,,,,,nao,,,,,,,,,
ADEILDO BISPO DA SILVA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2023-12-20,2023,nomeacao,ADEILDO BISPO DA SILVA,ADEILDO BISPO DA SILVA,sim,ADEILDO BISPO DA SILVA:MISC|Adeildo Bispo Da Silva:PER,,da Superintendência de Promoção Social - Metropolitana,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVd0U1IwMXFRVEJSTUZWMFVWUmtSRkpUTURCUk1GcEZURlZKTTAxcVFYUlJNRTVEVGxSUk1FMXFUa1pPYWxaRlRWUmpNMDU2VlRCT2FtZDZUMUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2023\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2023-12-20.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2023.csv,190,,,,,,nao,,,,,,,,,
ADEILDO BISPO DA SILVA,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-10-16,2024,exoneracao,ADEILDO BISPO DA SILVA,ADEILDO BISPO DA SILVA,sim,ADEILDO BISPO DA SILVA:MISC|Adeildo Bispo Da Silva:PER,do cargo em comissão de Coordenador Regional,da Superintendência de Pro￾moção Social - Metropolitana,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVZSQk0xRjZiRWRPVlZWMFVtdEtSbEpwTURCT1ZVazFURlJuTkZKVVkzUk9hMFY0VDFWS1IwMXFRWGhSVkZGM1RWUmpNMDU2VlhoUFJHY3dUbmM5UFE9PQ==,LAKE\RJ\2024\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-10-16.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,1562,nomeacao,2023-12-20,,da Superintendência de Promoção Social - Metropolitana,301,nao,,,,,,,,,
ADEILSON DE OLIVEIRA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-10-14,2025,nomeacao,ADEILSON DE OLIVEIRA,ADEILSON DE OLIVEIRA,sim,ADEILSON DE OLIVEIRA:PER,para exercer o cargo em comis- são de Encarregado,da Fundação Teatro Municipal do Rio de Janeiro - FTM/RJ,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFhwck1rNTZaRUpTUlUxMFQxUm9SVkpwTURCT01GVjVURlJuZVZKcVRYUk9la0pEVWxWU1JrMTZiRVZTVkUxM1RWUmpNMDU2VlhoTmVtY3hUa0U5UFE9PQ==,LAKE\RJ\2025\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-10-14.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,1835,,,,,,nao,,,,,,,,,
ADELINO JOSE BORGES NETO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-03-28,2025,nomeacao,ADELINO JOSÉ BORGES NETO,ADELINO JOSÉ BORGES NETO,sim,ADELINO:ORG|JOSÉ BORGES:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGxSU1JFMHdXWHBQVkdOMFRtdFJORTFwTURCT1JFa3pURlJuTTA0d1RYUk5hMVV4VFhwTmVrOVVXWGROTUUwMVRWUmpNMDU2VlhoT2FsVjVUV2M5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-28.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,7165,,,,,,nao,,,,,,,,,
ADELSON SAMPAIO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-01-06,2025,nomeacao,ADELSON SAMPAIO,ADELSON SAMPAIO,sim,ADELSON SAMPAIO:MISC|Adelson Sampaio:PER,para exercer o cargo em comissão de Ajudante I,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFhwS1ExSlZXa05PYTFGMFVYcEpORTVETURCUmFrbDVURlZGZWs1VVVYUk9SVVpHVFRCYVFrMTZUVEpOZWxGNFRWUmpNMDU2VlhoUFJGbDRUMEU5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-06.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,9452,,,,,,nao,,,,,,,,,
ADEMARIO MOTTA ALVES,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-07-10,2024,nomeacao,ADEMARIO MOTTA ALVES,ADEMARIO MOTTA ALVES,sim,MOTTA ALVES:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVRCSk5WSkVaRVZSZWtGMFRucEJNRkZwTURCUFJHZDZURlZHUWxGcVJYUk5lbHBGVWtWS1IxSkVUVE5OVkVVeVRWUmpNMDU2VlhsTmFrMDFUVkU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\07\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-07-10.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,3725,,,,,,nao,,,,,,,,,
ADEMIR BARREIRA COELHO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-01-12,2024,nomeacao,ADEMIR BARREIRA COELHO,ADEMIR BARREIRA COELHO,sim,ADEMIR:MISC|Ademir Barreira Coelho:PER,,do Instituto de Pesos e Medidas do Estado do Rio de Janeiro - IPEM/RJ,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtSWk1GRjZRa1ZQUkUxMFRrUmpOVTE1TURCUk1FNUVURlJuTkUxNlRYUlBWR2Q2VFdwTk5FMXJSVE5TYTA1Q1RWUmpNMDU2VlRCT2FtTXpUbWM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-01-12.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,8517,,,,,,nao,,,,,,,,,
ADEMIR CANSIAN DORIGO FILHO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-03-26,2024,exoneracao,ADEMIR CANSIAN DORIGO FILHO,ADEMIR CANSIAN DORIGO FILHO,sim,ADEMIR CANSIAN DORIGO FILHO:MISC|Ademir Cansian Dorigo Filho:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG1wcmVFMVZWVEJTUkUxMFVWVkdSVTFETURCUFJHZDNURlZLUlZGVlRYUlNWRXBEVGtWSmVsSlVaRVZOTUZWM1RWUmpNMDU2VlRCT2FsVTBUVUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-03-26.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,6829,,,,,,nao,,,,,,,,,
ADEMIR CANSIAN DORIGO FILHO,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-03-26,2024,nomeacao,ADEMIR CANSIAN DORIGO FILHO,ADEMIR CANSIAN DORIGO FILHO,sim,ADEMIR CANSIAN DORIGO FILHO:MISC|Ademir Cansian Dorigo Filho:PER,para exercer o cargo em comissão de Coordenador,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG1wcmVFMVZWVEJTUkUxMFVWVkdSVTFETURCUFJHZDNURlZLUlZGVlRYUlNWRXBEVGtWSmVsSlVaRVZOTUZWM1RWUmpNMDU2VlRCT2FsVTBUVUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-03-26.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,6844,exoneracao,2024-03-26,,,0,sim,2024-03-26,,,0,nao,nao,,,
