nome_normalizado,nome_exemplo,total_atos,total_nomeacoes,total_exoneracoes,total_retornos_apos_exoneracao,primeira_data,ultima_data,cargos_distintos,orgaos_distintos,teve_nomeacao_e_exoneracao,teve_retorno_apos_exoneracao
ADRIANA CARNEIRO DE SOUZA,ADRIANA CARNEIRO DE SOUZA,1,0,1,0,2021-01-18,2021-01-18,1,1,nao,nao
ADRIANA CARNEIRO DOS SANTOS,ADRIANA CARNEIRO DOS SANTOS,1,1,0,0,2020-12-04,2020-12-04,0,0,nao,nao
ADRIANA CARVALHO COUTINHO RIQUE,ADRIANA CARVALHO COUTINHO RIQUE,1,1,0,0,2025-04-17,2025-04-17,0,0,nao,nao
ADRIANA CASTRO BARBOSA LOBO,ADRIANA CASTRO BARBOSA LOBO,2,1,1,1,2023-10-19,2023-10-19,2,1,sim,sim
ADRIANA CAVALCANTE,ADRIANA CAVALCANTE,1,1,0,0,2023-03-01,2023-03-01,0,1,nao,nao
ADRIANA CIPRIANO DE SOUZA DE OLIVEIRA,ADRIANA CIPRIANO DE SOUZA DE OLIVEIRA,1,0,1,0,2026-03-24,2026-03-24,1,1,nao,nao
ADRIANA CLARO RIBEIRO AMARAL,ADRIANA CLARO RIBEIRO AMARAL,3,2,1,1,2021-11-12,2023-02-13,1,2,sim,sim
ADRIANA CORREA HOMEM DE CARVALHO,ADRIANA CORREA HOMEM DE CARVALHO,1,0,1,0,2020-12-04,2020-12-04,1,0,nao,nao
ADRIANA COSTA DE LIMA,ADRIANA COSTA DE LIMA,1,1,0,0,2025-03-13,2025-03-13,0,0,nao,nao
ADRIANA COSTA DOS SANTOS,ADRIANA COSTA DOS SANTOS,2,1,1,0,2020-12-04,2023-01-25,1,0,sim,nao
ADRIANA CRISTINA DA SILVA SANTOS,ADRIANA CRISTINA DA SILVA SANTOS,3,1,2,1,2023-08-08,2026-01-19,3,0,sim,sim
ADRIANA CRISTINA DE SOUZA,ADRIANA CRISTINA DE SOUZA,2,1,1,0,2023-03-06,2023-04-11,1,1,sim,nao
ADRIANA CRISTINA SAMPAIO CARNEIRO,ADRIANA CRISTINA SAMPAIO CARNEIRO,1,0,1,0,2021-10-14,2021-10-14,1,1,nao,nao
ADRIANA CRISTINA SANTOS DE CASTRO,ADRIANA CRISTINA SANTOS DE CASTRO,2,1,1,0,2021-09-30,2023-12-01,2,2,sim,nao
ADRIANA CSASZAR PEREIRA LIMA,ADRIANA CSASZAR PEREIRA LIMA,1,0,1,0,2023-04-17,2023-04-17,1,1,nao,nao
ADRIANA DA COSTA ANDRADE DOS SANTOS,ADRIANA DA COSTA ANDRADE DOS SANTOS,1,1,0,0,2023-01-27,2023-01-27,0,1,nao,nao
ADRIANA DA COSTA PRADO,ADRIANA DA COSTA PRADO,1,1,0,0,2025-10-17,2025-10-17,1,1,nao,nao
ADRIANA DA SILVA AGUIAR COSTA,ADRIANA DA SILVA AGUIAR COSTA,1,1,0,0,2025-06-26,2025-06-26,0,1,nao,nao
ADRIANA DA SILVA ANTUNES,ADRIANA DA SILVA ANTUNES,1,1,0,0,2021-09-10,2021-09-10,0,0,nao,nao
ADRIANA DA SILVA ATHIAS,ADRIANA DA SILVA ATHIAS,3,1,2,1,2022-02-10,2022-05-11,2,0,sim,sim
ADRIANA DA SILVA DE ALCANTARA,ADRIANA DA SILVA DE ALCÂNTARA,1,1,0,0,2024-12-16,2024-12-16,1,0,nao,nao
ADRIANA DA SILVA DE SA,ADRIANA DA SILVA DE SÁ,2,0,2,0,2024-03-06,2024-03-06,1,0,nao,nao
ADRIANA DA SILVA LOPES,ADRIANA DA SILVA LOPES,1,1,0,0,2024-03-12,2024-03-12,0,0,nao,nao
ADRIANA DA SILVA PINTO,ADRIANA DA SILVA PINTO,2,1,1,0,2021-03-30,2021-08-02,1,0,sim,nao
ADRIANA DA SILVA SOARES,ADRIANA DA SILVA SOARES,7,5,2,4,2020-12-18,2025-05-09,5,3,sim,sim
ADRIANA DA SILVA TEIXEIRA,ADRIANA DA SILVA TEIXEIRA,1,1,0,0,2025-03-25,2025-03-25,0,0,nao,nao
ADRIANA DA SILVEIRA S I L VA,ADRIANA DA SILVEIRA S I L VA,1,0,1,0,2025-04-01,2025-04-01,1,1,nao,nao
ADRIANA DA SILVEIRA SILVA,ADRIANA DA SILVEIRA SILVA,3,1,2,1,2021-06-16,2024-01-05,1,1,sim,sim
ADRIANA DAMIANO DE OLIVEIRA,ADRIANA DAMIANO DE OLIVEIRA,1,1,0,0,2023-08-22,2023-08-22,1,1,nao,nao
ADRIANA DE ALMEIDA BRAGA,ADRIANA DE ALMEIDA BRAGA,4,2,2,1,2021-02-25,2022-06-14,3,1,sim,sim
ADRIANA DE CASTRO ROCHA,ADRIANA DE CASTRO ROCHA,3,2,1,1,2024-05-20,2025-02-17,2,2,sim,sim
ADRIANA DE OLIVEIRA MENDES SALGADO,ADRIANA DE OLIVEIRA MENDES SALGADO,2,2,0,0,2025-03-17,2025-11-24,1,2,nao,nao
ADRIANA DE OLIVEIRA NEGREIROS DUARTE,ADRIANA DE OLIVEIRA NEGREIROS DUARTE,1,1,0,0,2025-09-11,2025-09-11,1,0,nao,nao
ADRIANA DE OLIVEIRA SILVA ROCHA,ADRIANA DE OLIVEIRA SILVA ROCHA,2,1,1,0,2023-01-12,2023-02-23,1,1,sim,nao
ADRIANA DE SOUZA MENDES ROCHA,ADRIANA DE SOUZA MENDES ROCHA,2,1,1,0,2021-06-17,2023-01-25,2,2,sim,nao
ADRIANA DE SOUZA RODRIGUES,ADRIANA DE SOUZA RODRIGUES,4,2,2,1,2024-04-24,2026-03-23,4,0,sim,sim
ADRIANA DOS SANTOS SOUZA MARTINS,ADRIANA DOS SANTOS SOUZA MARTINS,2,1,1,0,2021-03-11,2024-11-21,2,0,sim,nao
ADRIANA DUARTE DA SILVA,ADRIANA DUARTE DA SILVA,1,0,1,0,2020-11-17,2020-11-17,1,1,nao,nao
ADRIANA ELIAS MONTEIRO DE SANTA BARBARA,ADRIANA ELIAS MONTEIRO DE SANTA BARBARA,4,2,2,1,2024-05-02,2025-10-13,4,0,sim,sim
ADRIANA ESTRELLA,ADRIANA ESTRELLA,2,1,1,0,2023-02-06,2024-10-16,1,2,sim,nao
ADRIANA FERREIRA JORDANI MILED,ADRIANA FERREIRA JORDANI MILED,1,0,1,0,2025-04-10,2025-04-10,1,1,nao,nao
ADRIANA FRANCISCO VIEIRA,ADRIANA FRANCISCO VIEIRA,1,1,0,0,2024-08-19,2024-08-19,0,1,nao,nao
ADRIANA FREIRE SALDANHA COLUCCI,ADRIANA FREIRE SALDANHA COLUCCI,2,1,1,0,2021-08-02,2022-11-01,1,1,sim,nao
ADRIANA GARRUTH NOBRE,ADRIANA GARRUTH NOBRE,4,3,1,1,2021-05-04,2024-01-08,2,0,sim,sim
ADRIANA GOMES DE OLIVEIRA BIGNON,ADRIANA GOMES DE OLIVEIRA BIGNON,1,0,1,0,2021-06-11,2021-06-11,1,0,nao,nao
ADRIANA GONCALVES DE OLIVEIRA,ADRIANA GONÇALVES DE OLIVEIRA,1,1,0,0,2023-04-12,2023-04-12,0,0,nao,nao
ADRIANA GONZAGA DE JESUS,ADRIANA GONZAGA DE JESUS,4,2,2,1,2023-03-06,2025-08-01,2,1,sim,sim
ADRIANA GUIMARAES LOYOLA DE BARROS,ADRIANA GUIMARÃES LOYOLA DE BARROS,1,1,0,0,2025-04-28,2025-04-28,0,0,nao,nao
ADRIANA HELENA ALVES DE OLIVEIRA,ADRIANA HELENA ALVES DE OLIVEIRA,1,1,0,0,2023-08-07,2023-08-07,0,1,nao,nao
ADRIANA HENRIQUE,ADRIANA HENRIQUE,1,1,0,0,2021-07-13,2021-07-13,0,0,nao,nao
ADRIANA HENRIQUE DA SILVA,ADRIANA HENRIQUE DA SILVA,5,1,4,1,2020-12-18,2023-04-11,4,0,sim,sim
ADRIANA HENRIQUE DE ALMEIDA,ADRIANA HENRIQUE DE ALMEIDA,1,1,0,0,2021-07-12,2021-07-12,0,1,nao,nao
ADRIANA JUNIOR NASCIMENTO,ADRIANA JUNIOR NASCIMENTO,1,0,1,0,2021-02-04,2021-02-04,1,0,nao,nao
ADRIANA LIMA DE OLIVEIRA,ADRIANA LIMA DE OLIVEIRA,2,1,1,0,2021-10-05,2023-01-19,1,0,sim,nao
ADRIANA LINS DOS SANTOS,ADRIANA LINS DOS SANTOS,1,0,1,0,2021-12-14,2021-12-14,1,0,nao,nao
ADRIANA LIRA BASTOS,ADRIANA LIRA BASTOS,1,1,0,0,2025-10-27,2025-10-27,0,0,nao,nao
ADRIANA LOPES DA SILVA,ADRIANA LOPES DA SILVA,2,1,1,0,2021-08-02,2023-02-06,1,1,sim,nao
ADRIANA LOPES DE QUEIROZ,ADRIANA LOPES DE QUEIROZ,2,1,1,0,2023-04-18,2024-04-29,1,1,sim,nao
ADRIANA LOPES GOMES,ADRIANA LOPES GOMES,1,1,0,0,2026-03-24,2026-03-24,1,0,nao,nao
ADRIANA LOUREIRO DA CUNHA,ADRIANA LOUREIRO DA CUNHA,2,1,1,0,2024-02-05,2025-06-30,2,0,sim,nao
ADRIANA LUIZA CONCEICAO PINTO,ADRIANA LUIZA CONCEIÇÃO PINTO,2,1,1,0,2025-04-11,2026-04-17,2,1,sim,nao
